state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible
mark_index_bps|15m|Q1->Q3,direction_1h_atr,1060,-0.20220676211575386,359,-0.2483102281603909,701,-0.1718903031584579,824,-0.2945033148661144,362,-0.16325282905398805,462,-0.3916692808492462,True,True,-1,0.20220676211575386,True
mark_index_bps|1h|Q1->Q3,direction_1h_atr,2199,-0.17119317709096366,856,-0.20291320420640974,1343,-0.14603158010785464,1841,-0.16077852093798223,929,-0.1285859832719883,912,-0.1943941497587593,True,True,-1,0.16077852093798223,True
mark_index_bps|1h|Q5->Q4,direction_1h_atr,2536,0.12911885501974904,1788,0.03710509172913734,748,0.3293529860636933,3247,0.14419707726028239,2480,0.15793044273578,767,0.03774954131809476,True,True,1,0.12911885501974904,True
mark_index_bps_change_1h|1h|Q2->Q1,direction_1h_atr,2780,0.15455554736535662,1560,0.18832902107399002,1220,0.10729323783343422,2798,0.11632107848014556,1631,0.02341856182011879,1167,0.23486352937009117,True,True,1,0.11632107848014556,True
mark_index_bps_change_1h|1h|Q4->Q5,direction_1h_atr,2884,-0.13456894950011575,1592,-0.13578591209379373,1292,-0.13649204646614363,2721,-0.11177923948897368,1625,-0.1058775965623973,1096,-0.13417887703433018,True,True,-1,0.11177923948897368,True
premium_index_change_1h|15m|Q5->Q5,direction_1h_atr,7466,-0.17852621945359654,4315,-0.1749480831539041,3151,-0.18877871225863402,7554,-0.10635212940670295,4782,-0.13969952192343393,2772,-0.06917534781190732,True,True,-1,0.10635212940670295,True
premium_index_close|1h|Q1->Q3,direction_1h_atr,2624,-0.1759582900041456,935,-0.1812872680070825,1689,-0.16688568159889988,2466,-0.10595397943936173,1104,-0.029170223052438056,1362,-0.1632644340737815,True,True,-1,0.10595397943936173,True
premium_index_close|1h|Q2->Q3,direction_1h_atr,5221,-0.10464446851581533,1948,-0.08224481206493296,3273,-0.11243855039827988,5272,-0.10113272587376908,2056,-0.04389032631051231,3216,-0.12806543501875237,True,True,-1,0.10113272587376908,True
premium_index_change_1h|1h|Q1->Q1,direction_1h_atr,2139,0.09496730945158097,1243,0.03344305173146503,896,0.17471455664666122,2114,0.2813743855937815,1434,0.27010474064094325,680,0.2741824033054199,True,True,1,0.09496730945158097,True
mark_index_bps_change_1h|1h|Q1->Q3,direction_1h_atr,3535,0.09169010565583993,1847,0.04732135022607137,1688,0.13875663140031488,3523,0.09578964534214043,1932,0.0913593546020488,1591,0.09493723415342517,True,True,1,0.09169010565583993,True
